00000000.15195600|0.029928|0.163428|0.070057
00000000.16342800|0.070057|0.186373|0.13025
00000000.18637300|0.13025|0.203582|0.176112
00000000.20358200|0.176112|0.232263|0.233439
00000000.23226300|0.233439|0.269549|0.285033
00000000.26954900|0.285033|0.315439|0.330895
00000000.31543900|0.330895|0.349856|0.379623
00000000.34985600|0.379623|0.384274|0.422619
00000000.37853800|0.46848|0.427296|0.451282
00000000.38427400|0.422619|0.404351|0.465614
00000000.40435100|0.465614|0.418691|0.508609
00000000.41869100|0.508609|0.427296|0.548738
00000000.42729600|0.451282|0.476054|0.445549
00000000.42729600|0.548738|0.4359|0.588867
00000000.43590000|0.588867|0.438768|0.628996
00000000.43876800|0.628996|0.444505|0.663392
00000000.44450500|0.663392|0.470318|0.717853
00000000.47031800|0.717853|0.484658|0.763715
00000000.47605400|0.445549|0.539153|0.442683
00000000.48465800|0.763715|0.496131|0.795245
00000000.49613100|0.795245|0.521944|0.829641
00000000.52194400|0.829641|0.556361|0.866904
00000000.53915300|0.442683|0.576438|0.439817
00000000.55636100|0.866904|0.576438|0.907033
00000000.57643800|0.439817|0.616592|0.428351
00000000.57643800|0.907033|0.590779|0.864038
00000000.59077900|0.864038|0.616592|0.800978
00000000.61659200|0.428351|0.659614|0.419752
00000000.61659200|0.800978|0.625197|0.763715
00000000.62519700|0.763715|0.633801|0.729319
00000000.63380100|0.729319|0.642405|0.697789
00000000.64240500|0.697789|0.65101|0.666259
00000000.65101000|0.666259|0.656746|0.634729
00000000.65674600|0.634729|0.662482|0.597466
00000000.65961400|0.419752|0.702636|0.416886
00000000.66248200|0.597466|0.673955|0.560204
00000000.67395500|0.560204|0.685427|0.520075
00000000.68542700|0.520075|0.694032|0.485678
00000000.69403200|0.485678|0.699768|0.451282
00000000.69976800|0.451282|0.702636|0.416886
00000000.70263600|0.382489|0.705504|0.330895
00000000.70263600|0.416886|0.702636|0.382489
00000000.70263600|0.416886|0.774339|0.416886
00000000.70550400|0.330895|0.719845|0.279301
00000000.71984500|0.279301|0.739922|0.236305
00000000.73992200|0.236305|0.748526|0.199043
00000000.74852600|0.199043|0.771471|0.158914
00000000.77147100|0.158914|0.797284|0.121651
00000000.77433900|0.416886|0.782944|0.419752
00000000.79728400|0.121651|0.831702|0.115918
00000000.83170200|0.115918|0.840306|0.115918
00000001.14154100|0.107057|1.139748|0.108848
00000001.16663200|0.064069|1.161255|0.055114
00000001.17380100|0.103475|1.141541|0.107057
00000001.17559300|0.09631|1.166632|0.064069
00000001.17738600|0.845012|1.216815|0.868297
00000001.18276300|0.128551|1.175593|0.09631
00000001.18455500|0.159|1.182763|0.128551
00000001.18455500|0.18945|1.184555|0.159
00000001.18813900|0.228855|1.184555|0.18945
00000001.19172400|0.264679|1.188139|0.228855
00000001.19351600|0.296919|1.191724|0.264679
00000001.19710000|0.32916|1.193516|0.296919
00000001.19889300|0.372148|1.1971|0.32916
00000001.20427000|0.424091|1.198893|0.372148
00000001.20964600|0.474244|1.20427|0.424091
00000001.20964600|0.947108|1.216815|0.909494
00000001.21323100|0.517231|1.209646|0.474244
00000001.21502300|0.101684|1.173801|0.103475
00000001.21502300|0.560219|1.213231|0.517231
00000001.21681500|0.606789|1.215023|0.560219
00000001.21681500|0.773366|1.216815|0.606789
00000001.21681500|0.868297|1.25983|0.882627
00000001.21681500|0.909494|1.223984|0.875462
00000001.22219200|0.812772|1.216815|0.773366
00000001.22398400|0.845012|1.222192|0.812772
00000001.22398400|0.875462|1.223984|0.845012
00000001.24549200|0.092728|1.215023|0.101684
